COD_HOSPITAL,NOMBRE_HOSPITAL,REGION_GEO,COMUNA_GEO,LAT_GEO,LON_GEO,total,alta,traslados,porcentaje,porcentaje_traslado
116111,Hospital San Juan de Dios (Cauquenes),Región del Maule,Cauquenes,-35.963105,-72.32527,4682,997,530,21.29,11.32
117101,Hospital Clínico Herminda Martín (Chillán),Región de Ñuble,Chillán,-36.608831,-72.092671,136671,23446,6711,17.16,4.91
117102,Hospital de San Carlos,Región de Ñuble,San Carlos,-36.429931,-71.959831,47503,6850,1414,14.42,2.98
118100,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción),Región del Bíobío,Concepción,-36.82511,-73.037951,194106,45040,7967,23.2,4.1
118105,Hospital San José (Coronel),Región del Bíobío,Coronel,-37.028242,-73.135861,39530,7738,2759,19.58,6.98
118106,Hospital de Lota,Región del Bíobío,Lota,-37.09019,-73.155535,11691,1913,684,16.36,5.85
119100,Hospital Las Higueras (Talcahuano),Región del Bíobío,Talcahuano,-36.740101,-73.108694,131033,19958,3782,15.23,2.89
119101,Hospital de Tomé,Región del Bíobío,Tome,-36.613323,-72.954554,8473,1995,462,23.55,5.45
119102,Hospital Penco - Lirquén,Región del Bíobío,Penco,-36.719574,-72.975452,4157,1055,241,25.38,5.8
120101,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Ángeles),Región del Bíobío,Los Ángeles,-37.47365,-72.346903,168941,25514,5451,15.1,3.23
121109,Hospital Dr. Hernán Henríquez Aravena (Temuco),Región de La Araucanía,Temuco,-38.736532,-72.599238,167101,30734,9049,18.39,5.42
121110,Hospital Dr. Abraham Godoy (Lautaro),Región de La Araucanía,Lautaro,-38.537076,-72.418384,27743,4126,1944,14.87,7.01
121114,Hospital Intercultural de Nueva Imperial,Región de La Araucanía,Nueva Imperial,-38.740329,-72.958314,36077,6638,2722,18.4,7.54
121117,Hospital de Pitrufquén,Región de La Araucanía,Pitrufquén,-38.989944,-72.643501,24523,5261,2304,21.45,9.4
121121,Hospital de Villarrica,Región de La Araucanía,Villarrica,-39.2777,-72.226793,30470,4249,2292,13.94,7.52
122100,Hospital Clínico Regional (Valdivia),Región de Los Ríos,Valdivia,-39.831807,-73.240138,125861,24079,3739,19.13,2.97
123100,Hospital Base San José de Osorno,Región de Los Lagos,Osorno,-40.5883,-73.127785,108441,18633,2529,17.18,2.33
124105,Hospital de Puerto Montt,Región de Los Lagos,Puerto Montt,-41.44855,-72.957342,160095,31747,4501,19.83,2.81
125100,Hospital Regional (Coihaique),Región de Aysén del General Carlos Ibañez del Campo,Coyhaique,-45.568399,-72.073423,52582,6183,2337,11.76,4.44
126100,Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria,Región de Magallanes y de la Antártica Chilena,Punta Arenas,-53.12215,-70.896232,70769,14853,1718,20.99,2.43
128109,Hospital Provincial Dr. Rafael Avaría (Curanilahue),Región del Bíobío,Curanilahue,-37.473676,-73.348238,37601,6961,5568,18.51,14.81
129100,Hospital Dr. Mauricio Heyermann (Angol),Región de La Araucanía,Angol,-37.794444,-72.705669,54978,8966,1750,16.31,3.18
129106,Hospital San José (Victoria),Región de La Araucanía,Victoria,-38.233942,-72.340159,44265,7638,2429,17.26,5.49
133150,Hospital de Castro,Región de Los Lagos,Castro,-42.477043,-73.76933,48727,7370,2742,15.13,5.63
