cod_hospital_origen,hospital_origen,region_origen,comuna_origen,lat_origen,lon_origen,cod_hospital_destino,hospital_destino,region_destino,comuna_destino,lat_destino,lon_destino,cantidad,graves,porcentaje_graves
112100.0,"Hospital Del Salvador (Santiago, Providencia)",Región Metropolitana de Santiago,Providencia,-33.43664,-70.624493,112101,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Región Metropolitana de Santiago,Peñalolén,-33.501328,-70.579408,5,3,60.0
133150.0,Hospital de Castro,Región de Los Lagos,Castro,-42.477043,-73.76933,118100,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción),Región del Bíobío,Concepción,-36.82511,-73.037951,5,3,60.0
110100.0,"Hospital San Juan de Dios (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.442394,-70.679188,110120,"Hospital Dr. Félix Bulnes Cerda (Santiago, Quinta Normal)",Región Metropolitana de Santiago,Cerro Navia,-33.423625,-70.741664,5,2,40.0
117102.0,Hospital de San Carlos,Región de Ñuble,San Carlos,-36.429931,-71.959831,116110,Hospital San José (Parral),Región del Maule,Parral,-36.141982,-71.814027,5,2,40.0
119100.0,Hospital Las Higueras (Talcahuano),Región del Bíobío,Talcahuano,-36.740101,-73.108694,117102,Hospital de San Carlos,Región de Ñuble,San Carlos,-36.429931,-71.959831,5,1,20.0
108100.0,Hospital de San Camilo (San Felipe),Región de Valparaíso,San Felipe,-32.74977,-70.708992,112102,"Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)",Región Metropolitana de Santiago,Providencia,-33.430592,-70.615846,4,4,100.0
125100.0,Hospital Regional (Coihaique),Región de Aysén del General Carlos Ibañez del Campo,Coyhaique,-45.568399,-72.073423,124105,Hospital de Puerto Montt,Región de Los Lagos,Puerto Montt,-41.44855,-72.957342,4,4,100.0
125100.0,Hospital Regional (Coihaique),Región de Aysén del General Carlos Ibañez del Campo,Coyhaique,-45.568399,-72.073423,111100,"Hospital Clínico San Borja-Arriarán (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.460498,-70.64232,4,3,75.0
129100.0,Hospital Dr. Mauricio Heyermann (Angol),Región de La Araucanía,Angol,-37.794444,-72.705669,118100,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción),Región del Bíobío,Concepción,-36.82511,-73.037951,4,3,75.0
133150.0,Hospital de Castro,Región de Los Lagos,Castro,-42.477043,-73.76933,121109,Hospital Dr. Hernán Henríquez Aravena (Temuco),Región de La Araucanía,Temuco,-38.736532,-72.599238,4,3,75.0
105100.0,Hospital San Juan de Dios (La Serena),Región de Coquimbo,La Serena,-29.908191,-71.249732,111100,"Hospital Clínico San Borja-Arriarán (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.460498,-70.64232,4,2,50.0
108101.0,Hospital San Juan de Dios (Los Andes),Región de Valparaíso,Los Andes,-32.829664,-70.59643,107100,Hospital Dr. Gustavo Fricke (Viña del Mar),Región de Valparaíso,Viña del Mar,-33.0294,-71.541725,4,2,50.0
110100.0,"Hospital San Juan de Dios (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.442394,-70.679188,109101,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",Región Metropolitana de Santiago,Independencia,-33.415335,-70.655086,4,2,50.0
112100.0,"Hospital Del Salvador (Santiago, Providencia)",Región Metropolitana de Santiago,Providencia,-33.43664,-70.624493,111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,Región Metropolitana de Santiago,Santiago,-33.444004,-70.637955,4,2,50.0
118106.0,Hospital de Lota,Región del Bíobío,Lota,-37.09019,-73.155535,118106,Hospital de Lota,Región del Bíobío,Lota,-37.09019,-73.155535,4,2,50.0
121110.0,Hospital Dr. Abraham Godoy (Lautaro),Región de La Araucanía,Lautaro,-38.537076,-72.418384,121117,Hospital de Pitrufquén,Región de La Araucanía,Pitrufquén,-38.989944,-72.643501,4,2,50.0
121121.0,Hospital de Villarrica,Región de La Araucanía,Villarrica,-39.2777,-72.226793,121110,Hospital Dr. Abraham Godoy (Lautaro),Región de La Araucanía,Lautaro,-38.537076,-72.418384,4,2,50.0
124105.0,Hospital de Puerto Montt,Región de Los Lagos,Puerto Montt,-41.44855,-72.957342,122100,Hospital Clínico Regional (Valdivia),Región de Los Ríos,Valdivia,-39.831807,-73.240138,4,2,50.0
110100.0,"Hospital San Juan de Dios (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.442394,-70.679188,111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,Región Metropolitana de Santiago,Santiago,-33.444004,-70.637955,4,1,25.0
114105.0,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza,Región Metropolitana de Santiago,La Florida,-33.514161,-70.599148,114103,Hospital Padre Alberto Hurtado (San Ramón),Región Metropolitana de Santiago,San Ramón,-33.5525,-70.635024,4,1,25.0
124105.0,Hospital de Puerto Montt,Región de Los Lagos,Puerto Montt,-41.44855,-72.957342,123100,Hospital Base San José de Osorno,Región de Los Lagos,Osorno,-40.5883,-73.127785,4,1,25.0
110130.0,Hospital Adalberto Steeger (Talagante),Región Metropolitana de Santiago,Talagante,-33.66801,-70.920339,111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,Región Metropolitana de Santiago,Santiago,-33.444004,-70.637955,3,3,100.0
113180.0,"Hospital El Pino (Santiago, San Bernardo)",Región Metropolitana de Santiago,San Bernardo,-33.58435,-70.676793,113130,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)",Región Metropolitana de Santiago,San Miguel,-33.484761,-70.648129,3,3,100.0
105101.0,Hospital San Pablo (Coquimbo),Región de Coquimbo,Coquimbo,-29.968488,-71.337017,109101,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",Región Metropolitana de Santiago,Independencia,-33.415335,-70.655086,3,2,66.67
121121.0,Hospital de Villarrica,Región de La Araucanía,Villarrica,-39.2777,-72.226793,129100,Hospital Dr. Mauricio Heyermann (Angol),Región de La Araucanía,Angol,-37.794444,-72.705669,3,2,66.67
133150.0,Hospital de Castro,Región de Los Lagos,Castro,-42.477043,-73.76933,112103,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,Región Metropolitana de Santiago,Providencia,-33.437988,-70.621882,3,1,33.33
110130.0,Hospital Adalberto Steeger (Talagante),Región Metropolitana de Santiago,Talagante,-33.66801,-70.920339,110150,Hospital San José (Melipilla),Región Metropolitana de Santiago,Melipilla,-33.69526,-71.214668,3,0,0.0
102100.0,Hospital Dr. Ernesto Torres Galdames (Iquique),Región de Tarapacá,Iquique,-20.214354,-70.138931,107100,Hospital Dr. Gustavo Fricke (Viña del Mar),Región de Valparaíso,Viña del Mar,-33.0294,-71.541725,2,2,100.0
102100.0,Hospital Dr. Ernesto Torres Galdames (Iquique),Región de Tarapacá,Iquique,-20.214354,-70.138931,112100,"Hospital Del Salvador (Santiago, Providencia)",Región Metropolitana de Santiago,Providencia,-33.43664,-70.624493,2,2,100.0
108101.0,Hospital San Juan de Dios (Los Andes),Región de Valparaíso,Los Andes,-32.829664,-70.59643,106102,Hospital Dr. Eduardo Pereira Ramírez (Valparaíso),Región de Valparaíso,Valparaíso,-33.05679,-71.58962,2,2,100.0
124105.0,Hospital de Puerto Montt,Región de Los Lagos,Puerto Montt,-41.44855,-72.957342,112103,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,Región Metropolitana de Santiago,Providencia,-33.437988,-70.621882,2,2,100.0
105101.0,Hospital San Pablo (Coquimbo),Región de Coquimbo,Coquimbo,-29.968488,-71.337017,104100,Hospital San José del Carmen (Copiapó),Región de Atacama,Copiapó,-27.373352,-70.322127,2,1,50.0
108100.0,Hospital de San Camilo (San Felipe),Región de Valparaíso,San Felipe,-32.74977,-70.708992,106100,Hospital Carlos Van Buren (Valparaíso),Región de Valparaíso,Valparaíso,-33.050258,-71.611098,2,1,50.0
110100.0,"Hospital San Juan de Dios (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.442394,-70.679188,110150,Hospital San José (Melipilla),Región Metropolitana de Santiago,Melipilla,-33.69526,-71.214668,2,1,50.0
110130.0,Hospital Adalberto Steeger (Talagante),Región Metropolitana de Santiago,Talagante,-33.66801,-70.920339,110110,Instituto Traumatológico Dr. Teodoro Gebauer,Región Metropolitana de Santiago,Santiago,-33.434891,-70.658236,2,1,50.0
113100.0,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",Región Metropolitana de Santiago,San Miguel,-33.485147,-70.644439,114101,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Región Metropolitana de Santiago,Puente Alto,-33.577251,-70.581781,2,1,50.0
113150.0,Hospital San Luis (Buin),Región Metropolitana de Santiago,Buin,-33.734263,-70.739547,113130,"Hospital Dr. Exequiel González Cortés (Santiago, San Miguel)",Región Metropolitana de Santiago,San Miguel,-33.484761,-70.648129,2,1,50.0
113180.0,"Hospital El Pino (Santiago, San Bernardo)",Región Metropolitana de Santiago,San Bernardo,-33.58435,-70.676793,109101,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",Región Metropolitana de Santiago,Independencia,-33.415335,-70.655086,2,1,50.0
113180.0,"Hospital El Pino (Santiago, San Bernardo)",Región Metropolitana de Santiago,San Bernardo,-33.58435,-70.676793,112103,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,Región Metropolitana de Santiago,Providencia,-33.437988,-70.621882,2,1,50.0
115107.0,Hospital San Juan de Dios (San Fernando),Región del Libertador Gral. B. O'Higgins,San Fernando,-34.575908,-70.992563,111100,"Hospital Clínico San Borja-Arriarán (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.460498,-70.64232,2,1,50.0
105100.0,Hospital San Juan de Dios (La Serena),Región de Coquimbo,La Serena,-29.908191,-71.249732,104100,Hospital San José del Carmen (Copiapó),Región de Atacama,Copiapó,-27.373352,-70.322127,2,0,0.0
108100.0,Hospital de San Camilo (San Felipe),Región de Valparaíso,San Felipe,-32.74977,-70.708992,112103,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,Región Metropolitana de Santiago,Providencia,-33.437988,-70.621882,2,0,0.0
113180.0,"Hospital El Pino (Santiago, San Bernardo)",Región Metropolitana de Santiago,San Bernardo,-33.58435,-70.676793,111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,Región Metropolitana de Santiago,Santiago,-33.444004,-70.637955,2,0,0.0
117102.0,Hospital de San Carlos,Región de Ñuble,San Carlos,-36.429931,-71.959831,116108,Hospital Presidente Carlos Ibáñez del Campo (Linares),Región del Maule,Linares,-35.844282,-71.590991,2,0,0.0
119100.0,Hospital Las Higueras (Talcahuano),Región del Bíobío,Talcahuano,-36.740101,-73.108694,129106,Hospital San José (Victoria),Región de La Araucanía,Victoria,-38.233942,-72.340159,2,0,0.0
121110.0,Hospital Dr. Abraham Godoy (Lautaro),Región de La Araucanía,Lautaro,-38.537076,-72.418384,129106,Hospital San José (Victoria),Región de La Araucanía,Victoria,-38.233942,-72.340159,2,0,0.0
125100.0,Hospital Regional (Coihaique),Región de Aysén del General Carlos Ibañez del Campo,Coyhaique,-45.568399,-72.073423,112102,"Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)",Región Metropolitana de Santiago,Providencia,-33.430592,-70.615846,2,0,0.0
133150.0,Hospital de Castro,Región de Los Lagos,Castro,-42.477043,-73.76933,111100,"Hospital Clínico San Borja-Arriarán (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.460498,-70.64232,2,0,0.0
102100.0,Hospital Dr. Ernesto Torres Galdames (Iquique),Región de Tarapacá,Iquique,-20.214354,-70.138931,109101,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",Región Metropolitana de Santiago,Independencia,-33.415335,-70.655086,1,1,100.0
105100.0,Hospital San Juan de Dios (La Serena),Región de Coquimbo,La Serena,-29.908191,-71.249732,112100,"Hospital Del Salvador (Santiago, Providencia)",Región Metropolitana de Santiago,Providencia,-33.43664,-70.624493,1,1,100.0
105100.0,Hospital San Juan de Dios (La Serena),Región de Coquimbo,La Serena,-29.908191,-71.249732,112101,"Hospital Dr. Luis Tisné B. (Santiago, Peñalolén)",Región Metropolitana de Santiago,Peñalolén,-33.501328,-70.579408,1,1,100.0
105100.0,Hospital San Juan de Dios (La Serena),Región de Coquimbo,La Serena,-29.908191,-71.249732,112102,"Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)",Región Metropolitana de Santiago,Providencia,-33.430592,-70.615846,1,1,100.0
105100.0,Hospital San Juan de Dios (La Serena),Región de Coquimbo,La Serena,-29.908191,-71.249732,114103,Hospital Padre Alberto Hurtado (San Ramón),Región Metropolitana de Santiago,San Ramón,-33.5525,-70.635024,1,1,100.0
105101.0,Hospital San Pablo (Coquimbo),Región de Coquimbo,Coquimbo,-29.968488,-71.337017,110100,"Hospital San Juan de Dios (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.442394,-70.679188,1,1,100.0
105101.0,Hospital San Pablo (Coquimbo),Región de Coquimbo,Coquimbo,-29.968488,-71.337017,112103,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,Región Metropolitana de Santiago,Providencia,-33.437988,-70.621882,1,1,100.0
105101.0,Hospital San Pablo (Coquimbo),Región de Coquimbo,Coquimbo,-29.968488,-71.337017,114105,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza,Región Metropolitana de Santiago,La Florida,-33.514161,-70.599148,1,1,100.0
105102.0,Hospital Dr. Antonio Tirado Lanas (Ovalle),Región de Coquimbo,Ovalle,-30.599614,-71.200031,106100,Hospital Carlos Van Buren (Valparaíso),Región de Valparaíso,Valparaíso,-33.050258,-71.611098,1,1,100.0
108100.0,Hospital de San Camilo (San Felipe),Región de Valparaíso,San Felipe,-32.74977,-70.708992,109101,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",Región Metropolitana de Santiago,Independencia,-33.415335,-70.655086,1,1,100.0
108100.0,Hospital de San Camilo (San Felipe),Región de Valparaíso,San Felipe,-32.74977,-70.708992,111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,Región Metropolitana de Santiago,Santiago,-33.444004,-70.637955,1,1,100.0
108101.0,Hospital San Juan de Dios (Los Andes),Región de Valparaíso,Los Andes,-32.829664,-70.59643,107102,Hospital de Quilpué,Región de Valparaíso,Quilpué,-33.051961,-71.433933,1,1,100.0
110100.0,"Hospital San Juan de Dios (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.442394,-70.679188,109100,"Complejo Hospitalario San José (Santiago, Independencia)",Región Metropolitana de Santiago,Independencia,-33.416586,-70.653318,1,1,100.0
110100.0,"Hospital San Juan de Dios (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.442394,-70.679188,110130,Hospital Adalberto Steeger (Talagante),Región Metropolitana de Santiago,Talagante,-33.66801,-70.920339,1,1,100.0
110100.0,"Hospital San Juan de Dios (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.442394,-70.679188,114101,"Complejo Hospitalario Dr. Sótero del Río (Santiago, Puente Alto)",Región Metropolitana de Santiago,Puente Alto,-33.577251,-70.581781,1,1,100.0
110130.0,Hospital Adalberto Steeger (Talagante),Región Metropolitana de Santiago,Talagante,-33.66801,-70.920339,113100,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",Región Metropolitana de Santiago,San Miguel,-33.485147,-70.644439,1,1,100.0
112100.0,"Hospital Del Salvador (Santiago, Providencia)",Región Metropolitana de Santiago,Providencia,-33.43664,-70.624493,114105,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza,Región Metropolitana de Santiago,La Florida,-33.514161,-70.599148,1,1,100.0
113100.0,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",Región Metropolitana de Santiago,San Miguel,-33.485147,-70.644439,112102,"Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)",Región Metropolitana de Santiago,Providencia,-33.430592,-70.615846,1,1,100.0
113100.0,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",Región Metropolitana de Santiago,San Miguel,-33.485147,-70.644439,113150,Hospital San Luis (Buin),Región Metropolitana de Santiago,Buin,-33.734263,-70.739547,1,1,100.0
113100.0,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",Región Metropolitana de Santiago,San Miguel,-33.485147,-70.644439,113180,"Hospital El Pino (Santiago, San Bernardo)",Región Metropolitana de Santiago,San Bernardo,-33.58435,-70.676793,1,1,100.0
113100.0,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",Región Metropolitana de Santiago,San Miguel,-33.485147,-70.644439,114103,Hospital Padre Alberto Hurtado (San Ramón),Región Metropolitana de Santiago,San Ramón,-33.5525,-70.635024,1,1,100.0
113150.0,Hospital San Luis (Buin),Región Metropolitana de Santiago,Buin,-33.734263,-70.739547,112103,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,Región Metropolitana de Santiago,Providencia,-33.437988,-70.621882,1,1,100.0
114105.0,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza,Región Metropolitana de Santiago,La Florida,-33.514161,-70.599148,112102,"Hospital de Niños Dr. Luis Calvo Mackenna (Santiago, Providencia)",Región Metropolitana de Santiago,Providencia,-33.430592,-70.615846,1,1,100.0
115107.0,Hospital San Juan de Dios (San Fernando),Región del Libertador Gral. B. O'Higgins,San Fernando,-34.575908,-70.992563,110100,"Hospital San Juan de Dios (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.442394,-70.679188,1,1,100.0
115107.0,Hospital San Juan de Dios (San Fernando),Región del Libertador Gral. B. O'Higgins,San Fernando,-34.575908,-70.992563,111195,Hospital de Urgencia Asistencia Pública Dr. Alejandro del Río,Región Metropolitana de Santiago,Santiago,-33.444004,-70.637955,1,1,100.0
115107.0,Hospital San Juan de Dios (San Fernando),Región del Libertador Gral. B. O'Higgins,San Fernando,-34.575908,-70.992563,112103,Instituto Nacional de Enfermedades Respiratorias y Cirugía Torácica,Región Metropolitana de Santiago,Providencia,-33.437988,-70.621882,1,1,100.0
115107.0,Hospital San Juan de Dios (San Fernando),Región del Libertador Gral. B. O'Higgins,San Fernando,-34.575908,-70.992563,116108,Hospital Presidente Carlos Ibáñez del Campo (Linares),Región del Maule,Linares,-35.844282,-71.590991,1,1,100.0
115110.0,Hospital de Santa Cruz,Región del Libertador Gral. B. O'Higgins,Santa Cruz,-34.634422,-71.35723,110100,"Hospital San Juan de Dios (Santiago, Santiago)",Región Metropolitana de Santiago,Santiago,-33.442394,-70.679188,1,1,100.0
115110.0,Hospital de Santa Cruz,Región del Libertador Gral. B. O'Higgins,Santa Cruz,-34.634422,-71.35723,111101,Hospital Clínico Metropolitano El Carmen Doctor Luis Valentín Ferrada,Región Metropolitana de Santiago,Maipú,-33.508212,-70.774248,1,1,100.0
115110.0,Hospital de Santa Cruz,Región del Libertador Gral. B. O'Higgins,Santa Cruz,-34.634422,-71.35723,114103,Hospital Padre Alberto Hurtado (San Ramón),Región Metropolitana de Santiago,San Ramón,-33.5525,-70.635024,1,1,100.0
117102.0,Hospital de San Carlos,Región de Ñuble,San Carlos,-36.429931,-71.959831,119102,Hospital Penco - Lirquén,Región del Bíobío,Penco,-36.719574,-72.975452,1,1,100.0
119100.0,Hospital Las Higueras (Talcahuano),Región del Bíobío,Talcahuano,-36.740101,-73.108694,114105,Hospital Clínico Metropolitano La Florida Dra. Eloisa Díaz Inzunza,Región Metropolitana de Santiago,La Florida,-33.514161,-70.599148,1,1,100.0
119100.0,Hospital Las Higueras (Talcahuano),Región del Bíobío,Talcahuano,-36.740101,-73.108694,116105,Hospital Dr. César Garavagno Burotto (Talca),Región del Maule,Talca,-35.426896,-71.646373,1,1,100.0
119100.0,Hospital Las Higueras (Talcahuano),Región del Bíobío,Talcahuano,-36.740101,-73.108694,121109,Hospital Dr. Hernán Henríquez Aravena (Temuco),Región de La Araucanía,Temuco,-38.736532,-72.599238,1,1,100.0
119100.0,Hospital Las Higueras (Talcahuano),Región del Bíobío,Talcahuano,-36.740101,-73.108694,129100,Hospital Dr. Mauricio Heyermann (Angol),Región de La Araucanía,Angol,-37.794444,-72.705669,1,1,100.0
121121.0,Hospital de Villarrica,Región de La Araucanía,Villarrica,-39.2777,-72.226793,119100,Hospital Las Higueras (Talcahuano),Región del Bíobío,Talcahuano,-36.740101,-73.108694,1,1,100.0
121121.0,Hospital de Villarrica,Región de La Araucanía,Villarrica,-39.2777,-72.226793,122100,Hospital Clínico Regional (Valdivia),Región de Los Ríos,Valdivia,-39.831807,-73.240138,1,1,100.0
121121.0,Hospital de Villarrica,Región de La Araucanía,Villarrica,-39.2777,-72.226793,123100,Hospital Base San José de Osorno,Región de Los Lagos,Osorno,-40.5883,-73.127785,1,1,100.0
121121.0,Hospital de Villarrica,Región de La Araucanía,Villarrica,-39.2777,-72.226793,128109,Hospital Provincial Dr. Rafael Avaría (Curanilahue),Región del Bíobío,Curanilahue,-37.473676,-73.348238,1,1,100.0
124105.0,Hospital de Puerto Montt,Región de Los Lagos,Puerto Montt,-41.44855,-72.957342,109101,"Hospital Clínico de Niños Dr. Roberto del Río (Santiago, Independencia)",Región Metropolitana de Santiago,Independencia,-33.415335,-70.655086,1,1,100.0
