codregion,cod_comuna,COMUNA_GEOJSON,REGION_GEOJSON,PROVINCIA_GEOJSON,total,alta,poblacion,porcentaje_severidad,porcentaje_poblacion,tasa_100k
16,16204,Ninhue,Región de Ñuble,Itata,379,55,5763,14.511873350923482,0.9543640465035572,954.3640465035571
16,16106,Pinto,Región de Ñuble,Ñuble,1,0,12502,0.0,0.0,0.0
16,16205,Portezuelo,Región de Ñuble,Itata,419,91,5203,21.71837708830549,1.748990966749952,1748.990966749952
16,16201,Quirihue,Región de Ñuble,Itata,641,91,11746,14.19656786271451,0.7747318235995232,774.7318235995233
16,16206,Ranquil,Región de Ñuble,Itata,407,64,6508,15.724815724815725,0.9834050399508296,983.4050399508296
16,16301,San Carlos,Región de Ñuble,Punilla,6124,1122,55847,18.321358589157413,2.009060468780776,2009.060468780776
16,16304,San Fabián,Región de Ñuble,Punilla,413,88,5245,21.307506053268767,1.6777883698760723,1677.7883698760722
16,16305,San Nicolás,Región de Ñuble,Punilla,1110,206,15099,18.55855855855856,1.3643287634942711,1364.3287634942712
16,16207,Treguaco,Región de Ñuble,Itata,283,50,6124,17.6678445229682,0.8164598301763554,816.4598301763554
16,16303,Ñiquén,Región de Ñuble,Punilla,1031,214,12797,20.75654704170708,1.6722669375634915,1672.2669375634914
